iter	Logloss
0	0.6786690042
1	0.6586175936
2	0.645791241
3	0.6331633126
4	0.6208887695
5	0.6110196807
6	0.6110196679
7	0.6110196467
8	0.6045797016
9	0.601427778
10	0.5957030737
11	0.5902666383
12	0.5896985427
13	0.5851644276
14	0.5818355236
15	0.5818354693
16	0.5795385753
17	0.5769618848
18	0.574153585
19	0.5741535556
20	0.5732887444
21	0.5732886711
22	0.5732886104
23	0.5727483163
24	0.5701487997
25	0.5701487993
26	0.5701487979
27	0.5686857581
28	0.5686857576
29	0.5673143199
30	0.5656545084
31	0.5655489609
32	0.5655489584
33	0.565105274
34	0.5651052739
35	0.5648539338
36	0.5648539332
37	0.5637745831
38	0.5634968705
39	0.5634968681
40	0.5634968675
41	0.5628657478
42	0.5628645067
43	0.5624500696
44	0.5613369705
45	0.5604874165
46	0.5602380184
47	0.5598253163
48	0.5596547543
49	0.5595773397
50	0.5589917378
51	0.5589917376
52	0.5588118486
53	0.5588118484
54	0.5586722796
55	0.5586442959
56	0.5579218065
57	0.5579218033
58	0.5577572211
59	0.5577572097
60	0.5570203103
61	0.5570203098
62	0.5570203094
63	0.5568779778
64	0.5568779534
65	0.5564247339
66	0.5559400556
67	0.5559354448
68	0.5557708904
69	0.5557708874
70	0.5557681332
71	0.5557681265
72	0.5556155404
73	0.5553590459
74	0.5552264016
75	0.554934528
76	0.5549345232
77	0.5549345187
78	0.5549295268
79	0.554929526
80	0.5548622693
81	0.5548476483
82	0.5545639613
83	0.5545267371
84	0.5545262244
85	0.5543588015
86	0.5543530821
87	0.5543026071
88	0.5542919484
89	0.5541724118
90	0.5540935528
91	0.5540935524
92	0.5537633763
93	0.5537429137
94	0.553742909
95	0.5537165015
96	0.5536320514
97	0.5536286334
98	0.5536286319
99	0.5533798192
100	0.5533245033
101	0.5532551969
102	0.5532551965
103	0.5532551958
104	0.5532551952
105	0.5532158635
106	0.5532158631
107	0.553183783
108	0.5531837802
109	0.5531837802
110	0.5531837644
111	0.5531836298
112	0.553124256
113	0.5530478312
114	0.5530313031
115	0.5529954647
116	0.5529942068
117	0.5529942068
118	0.5529042894
119	0.5529042893
120	0.5529042891
121	0.552904289
122	0.5528788121
123	0.5528788121
124	0.5528103654
125	0.5528103653
126	0.5528103653
127	0.5528103652
128	0.5527440611
129	0.552744061
130	0.5526507683
131	0.55262783
132	0.5526274037
133	0.5526274037
134	0.5525922722
135	0.5525921591
136	0.552592159
137	0.552592159
138	0.5525406539
139	0.5525161124
140	0.5522524502
141	0.5519417847
142	0.5517410088
143	0.5517410084
144	0.5515614528
145	0.5514564718
146	0.5514564716
147	0.5514210751
148	0.5511782541
149	0.5511751651
150	0.5511751651
151	0.5511751651
152	0.5511751651
153	0.5505960267
154	0.5505960266
155	0.5505061052
156	0.5504430455
157	0.5504430454
158	0.5504430451
159	0.5499969214
160	0.5498243826
161	0.5498243396
162	0.5498029474
163	0.5495059833
164	0.5493281946
165	0.5491173806
166	0.5490997366
167	0.5490997102
168	0.548978617
169	0.5489786166
170	0.5489786154
171	0.5489112954
172	0.5482510026
173	0.5482510026
174	0.5482329884
175	0.5479739001
176	0.5477811846
177	0.5476068369
178	0.5469273814
179	0.5466005237
180	0.5461814102
181	0.5459232483
182	0.5459232483
183	0.5459232483
184	0.5459225821
185	0.545922582
186	0.545853813
187	0.5456607459
188	0.5456607459
189	0.545203083
190	0.5451233233
191	0.5450172704
192	0.5450067665
193	0.5449736109
194	0.5449736109
195	0.5449484355
196	0.5449466033
197	0.5444701689
198	0.5443515782
199	0.5442518364
200	0.5438017571
201	0.543801757
202	0.5436413231
203	0.5435380548
204	0.5434832563
205	0.543066059
206	0.5430652304
207	0.5430473015
208	0.5429003126
209	0.5427149969
210	0.5426310391
211	0.5424110786
212	0.5424110763
213	0.5422758911
214	0.5420840243
215	0.5420246827
216	0.5416233396
217	0.5414487995
218	0.5409577548
219	0.5408216208
220	0.5407909069
221	0.540790906
222	0.5406784207
223	0.5404635678
224	0.5398459881
225	0.5398459874
226	0.5396730123
227	0.539673012
228	0.5396301006
229	0.5395943083
230	0.5395755102
231	0.5395734774
232	0.5394963425
233	0.5394963422
234	0.5393455927
235	0.538987153
236	0.5389612322
237	0.5388785768
238	0.5388779534
239	0.5388766844
240	0.5388766843
241	0.5387436133
242	0.5387145126
243	0.5387145124
244	0.5386356483
245	0.5385000493
246	0.5384954938
247	0.5384383633
248	0.538298659
249	0.5382975525
250	0.5382479996
251	0.5381775086
252	0.5381602791
253	0.5381602784
254	0.5380546762
255	0.5380178586
256	0.5380178584
257	0.5379654753
258	0.5378122407
259	0.5375535703
260	0.5375091976
261	0.5372776694
262	0.5372776682
263	0.537226061
264	0.5372260598
265	0.5372260596
266	0.537168809
267	0.5368975624
268	0.5368735427
269	0.5368571051
270	0.5368567948
271	0.5368309949
272	0.5367124969
273	0.5365098303
274	0.5365098297
275	0.5364161787
276	0.5362786158
277	0.5362786153
278	0.5362166736
279	0.5361120731
280	0.5361120729
