iter	Passed	Remaining
0	132	72906
1	868	237942
2	1042	190007
3	1191	162574
4	1736	189258
5	2270	205825
6	2297	178253
7	2329	157855
8	2532	152233
9	2602	140537
10	2782	136363
11	2976	133467
12	3005	124143
13	3522	134871
14	3686	131469
15	3704	123641
16	3766	118084
17	3836	113383
18	4162	116339
19	4184	110888
20	4229	106548
21	4249	101986
22	4267	97791
23	4285	93927
24	4881	102511
25	4898	98714
26	4911	95130
27	4974	92730
28	4992	89692
29	5052	87572
30	5435	90999
31	5462	88429
32	5483	85902
33	5543	84137
34	5567	81920
35	5586	79762
36	5600	77644
37	5800	78149
38	5821	76276
39	5841	74483
40	5858	72735
41	5918	71582
42	5949	70153
43	5989	68884
44	6398	71803
45	6443	70593
46	6485	69403
47	6541	68415
48	6571	67191
49	6598	65985
50	7056	69039
51	7074	67749
52	7111	66687
53	7131	65499
54	7170	64536
55	7205	63562
56	7620	65906
57	7636	64782
58	7675	63872
59	7691	62810
60	8151	65343
61	8168	64293
62	8184	63266
63	8207	62325
64	8223	61361
65	8302	60884
66	8424	60735
67	8456	59940
68	8487	59166
69	8503	58306
70	8543	57638
71	8558	56815
72	8593	56153
73	8813	56695
74	8873	56197
75	9002	56149
76	9027	55457
77	9047	54751
78	9083	54153
79	9101	53468
80	9140	52923
81	9170	52341
82	9214	51846
83	9241	51267
84	9266	50690
85	9720	52444
86	9769	51992
87	9799	51448
88	9828	50910
89	9862	50408
90	9902	49947
91	9932	49448
92	9995	49119
93	10066	48833
94	10085	48303
95	10158	48043
96	10198	47625
97	10218	47129
98	10234	46625
99	10276	46243
100	10309	45833
101	10373	45561
102	10390	45094
103	10406	44628
104	10421	44168
105	10481	43904
106	10502	43482
107	10526	43080
108	10547	42672
109	10569	42277
110	10590	41886
111	10613	41505
112	10655	41206
113	10702	40931
114	10810	40891
115	10832	40528
116	10859	40189
117	10875	39817
118	10908	39510
119	10925	39149
120	10940	38789
121	10957	38442
122	10994	38167
123	11031	37899
124	11155	37929
125	11175	37606
126	11204	37320
127	11233	37035
